rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
1. maja,Ulica prvog maja,,,Május 1. utca,,Q47499
43. istarske divizije,Ulica 43. istarske divizije,,Via della 43-esima Divisione Istriana,,,Q3445186
73. samostalne bojne,Ulica 73. samostalne bojne,,,,,
Adi Endre,Ulica Adi Endre,,,Ady Endre utca,,Q211392
Akvilejski prilaz - Androna Aquileia,Akvilejski prilaz,,Androna Aquileia,,,
Alberi - Alberi,Alberi,,Alberi,,,
Aldo Negri,Ulica Alda Negrija,,Via Aldo Negri,,,
Aleja 30. svibnja - Viale 30 maggio,Aleja 30. svibnja,,Viale 30 maggio,,,
Aleja Georga Hutterodta - Viale Georg Hutterodt,Aleja Georga Hutterodta,,Viale Georg Hutterodt,,,
Aleja maslina - Viale degli ulivi,Aleja maslina,,Viale degli ulivi,,,
Aleja Ruđera Boškovića - Viale Ruđer Bošković,Aleja Ruđera Boškovića,,Viale Ruđer Bošković,,,
Alekse Šantića,Ulica Alekse Šantića,,Via Aleksa Šantić,,,Q1285173
Alesi - Alessi,Alesi,,Alessi,,,
Altini - Altini,Altini,,Altini,,,
Altini (kod Bolare) - Altini (di Bolara),Altini,,Altini,,,
Altini (kod Šauli) - Altini (di Sauli),Altini,,Altini,,,
Amfiteatarska ulica - Via dell'Anfiteatro,Amfiteatarska ulica,,Via dell'Anfiteatro,,,
Androna Leme - Androna Leme,Androna Leme,,Androna Leme,,,
Andronella - Andronella,Andronella,,Andronella,,,
Ane Guštin,Ulica Ane Guštin,,Via Ana Guštin,,,Q115438434
Anke Butorac,Ulica Anke Butorac,,Via Anka Butorac,,,Q3438424
Antenal - Antenal,Antenal,,Antenal,,,
Antenska ulica - Via dell'Antenna,Antenska ulica,,Via dell'Antenna,,,
Anticova ulica - Via Andrea Antico,Anticova ulica,,Via Andrea Antico,,,
Antonci - Antonzi,Antonci,,Antonzi,,,
Antoni (Biloslavi) - Antoni (Biloslavi),Antoni,,Antoni,,,
Argonautska ulica - Via degli Argonauti,Argonautska ulica,,Via degli Argonauti,,,
Armanija - Armagna,Armanija,,Armagna,,,
Arnolongo - Arnolongo,Arnolongo,,Arnolongo,,,
Arsena Vivode Augusti.,Ulica Arsena Vivode Augustina,,Via Arsen Vivoda Augustin,,,Q10976905
Arsenale - Arsenale,Arsenale,,Arsenale,,,
Arsenalska ulica - Via dell'Arsenale,Arsenalska ulica,,Via dell'Arsenale,,,
Augustov prolaz - Vicolo Augusto,Augustov prolaz,,Vicolo Augusto,,,
Avenija Grada Vukovara - Corso Città di Vukovar,Avenija Grada Vukovara,,Corso Città di Vukovar,,,
Babica - Babizza,Babica,,Babizza,,,
Babići - Babici,Babići,,Babici,,,
Baćićev prilaz - Via Boris Bačić,Baćićev prilaz,,Via Boris Bačić,,,
Baderna - Mompaderno,Baderna,,Mompaderno,,,
Bagremova ulica - Via delle Acacie,Bagremova ulica,,Via delle Acacie,,,
Balbije - Balbie,Balbije,,Balbie,,,
Balidorski prolaz - Passo dei balidori,Balidorski prolaz,,Passo dei balidori,,,
Balini - Ballini,Balini,,Ballini,,,
